Trigram,jaccard
"('dekar', 'verim', 'değer')",1.0
"('nispi', 'vekalet', 'ücret')",1.0
"('edici', 'özellik', 'sahip')",1.0
"('vazgeçildik', 'anlam', 'geldik')",1.0
"('tebliğnamede', 'sürülen', 'düşünce')",1.0
"('tasfiye', 'kaynaklanan', 'alacak')",1.0
"('sorul', 'ekildik', 'bildirilen')",1.0
"('vekalet', 'ücret', 'taktir')",1.0
"('münavebeli', 'ekim', 'nadas')",1.0
"('mükerrirlere', 'özgü', 'infaz')",1.0
"('menkul', 'almak', 'vazgeçtik')",1.0
"('lüzum', 'ihbar', 'olunduk')",1.0
"('leh', 'aleyh', 'usuli')",1.0
"('hammadde', 'ihtiyaç', 'büyük')",1.0
"('dayanan', 'tebliğnamede', 'sürülen')",0.75
"('ihbar', 'olunduk', 'görüşülüp')",0.75
"('isteyen', 'dayanan', 'tebliğnamede')",0.75
"('özgü', 'infaz', 'rejim')",0.6
"('harfiyat', 'dolgu', 'beton')",0.5
"('verilememe', 'amaçlan', 'işledik')",0.5
"('tutanak', 'münderecat', 'mevcut')",0.5
"('sürülen', 'düşünce', 'görüldük')",0.5
"('miktar', 'belirlen', 'sonraki')",0.5
"('mahkum', 'ol', 'bulunma')",0.5
"('işlenip', 'işlenmedik', 'önem')",0.5
"('işle', 'yasal', 'faiz')",0.5
"('istek', 'bulunulabilecek', 'peş')",0.5
"('fiyat', 'dekar', 'verim')",0.5
"('ekim', 'nadas', 'tespit')",0.5
"('edilmek', 'evrak', 'okunarak')",0.5
"('dolgu', 'beton', 'dökmek')",0.5
"('birim', 'fiyat', 'getirtil')",0.5
"('birim', 'fiyat', 'dekar')",0.5
"('az', 'süreli', 'hapis')",0.5
"('38219', 'yevmiye', 'vekaletname')",0.5
"('evrak', 'tutanak', 'münderecat')",0.5
"('00', 'türk', 'lira')",0.5
"('düzeltme', 'istek', 'bulunulabilecek')",0.4
"('infaz', 'rejim', 'çektirilme')",0.4
"('rejim', 'tasfiye', 'kaynaklanan')",0.4
"('bölge', 'adliye', 'mahkeme')",0.35714285714285715
"('nol', 'bent', 'gösterilen')",0.3333333333333333
"('olunduk', 'görüşülüp', 'düşünül')",0.3333333333333333
"('metal', 'aş', 'ad')",0.3333333333333333
"('müessese', 'uygulanabilme', 'öncelik')",0.3333333333333333
"('onanma', 'tl', 'peşin')",0.3333333333333333
"('onama', 'harç', 'mahsub')",0.3333333333333333
"('özellik', 'sahip', 'belirterek')",0.3333333333333333
"('peşin', 'harç', 'onama')",0.3333333333333333
"('sunulan', 'fatura', 'edici')",0.3333333333333333
"('sürülen', 'düşünce', 'görülmeyerek')",0.3333333333333333
"('tarla', 'arsa', 'değerlendirildik')",0.3333333333333333
"('tutul', 'ek', 'sk')",0.3333333333333333
"('müdürlük', 'sorul', 'ekildik')",0.3333333333333333
"('ihtiyaç', 'büyük', 'müvekkil')",0.3333333333333333
"('mal', 'zarar', 'verme')",0.3333333333333333
"('içerisindeki', 'bilgi', 'belge')",0.3333333333333333
"('incelen', 'mezkur', 'ihbarname')",0.3333333333333333
"('ilçe', 'müdürlük', 'sorul')",0.3333333333333333
"('hukuki', 'ilişki', 'nitelendirme')",0.3333333333333333
"('haciz', 'metal', 'aş')",0.3333333333333333
"('fatura', 'edici', 'özellik')",0.3333333333333333
"('eski', 'hal', 'getirme')",0.3333333333333333
"('elatma', 'önlenme', 'kal')",0.3333333333333333
"('eksiklik', 'hata', 'giderildik')",0.3333333333333333
"('ekildik', 'bildirilen', 'ürün')",0.3333333333333333
"('ek', 'sk', 'md')",0.3333333333333333
"('bulunurken', 'hata', 'düştük')",0.3333333333333333
"('denetim', 'süre', 'iç')",0.3157894736842105
"('hal', 'getirme', 'bedel')",0.3125
"('bozma', 'isteyen', 'dayanan')",0.3076923076923077
"('mercii', 'istanbul', 'anadol')",0.2857142857142857
"('bozulma', 'lüzum', 'ihbar')",0.2727272727272727
"('adli', 'para', 'ceza')",0.2702702702702703
"('lira', 'adli', 'para')",0.26666666666666666
"('müvekkil', 'firma', 'cari')",0.25
"('müvekkil', 'borç', 'kapatabilmek')",0.25
"('hata', 'giderildik', 'oluş')",0.25
"('münderecat', 'mevcut', 'delil')",0.25
"('müdahale', 'edildik', 'belirterek')",0.25
"('konudaki', 'resmi', 'veri')",0.25
"('kesinleş', 'hat', 'nitelik')",0.25
"('işlem', 'mahal', 'getirilme')",0.25
"('isteyen', 'dayanan', 'tebliğnamedeki')",0.25
"('istem', 'bulunulduk', 'iş')",0.25
"('icra', 'müdürlük', 'prosedür')",0.25
"('hesaplama', 'tarla', 'arsa')",0.25
"('borç', 'makine', 'sat')",0.25
"('giderilme', 'koşul', 'gerçekleşme')",0.25
"('getirildik', 'somut', 'incelendik')",0.25
"('gerekçe', 'hukuki', 'ilişki')",0.25
"('fatura', 'baş', 'yeterli')",0.25
"('elatma', 'önlenme', 'fazla')",0.25
"('edilen', 'birim', 'fiyat')",0.25
"('delil', 'değerlendirilip', 'oluş')",0.25
"('büyük', 'müvekkil', 'firma')",0.25
"('bulunan', '1412', 'cmuk')",0.25
"('belirlen', 'sonraki', 'dönem')",0.25
"('29525', 'resmi', 'gazete')",0.25
"('resmi', 'gazete', 'ilan')",0.25
