Trigram,t
"('bölge', 'adliye', 'mahkeme')",78.86001122008975
"('karar', 'veril', 'hüküm')",75.5386852231351
"('birlik', 'karar', 'veril')",69.7058230120632
"('oybirliği', 'karar', 'veril')",67.88698724290852
"('tarih', 'birlik', 'karar')",60.808346082384155
"('verilen', 'hüküm', 'temyiz')",59.462848975571006
"('hüküm', 'temyiz', 'edilmek')",58.66392473402426
"('mahkeme', 'verilen', 'hüküm')",56.881028087660084
"('veril', 'hüküm', 'mahkumiyet')",49.924980660890945
"('tarih', 'oybirliği', 'karar')",49.39436515706644
"('suç', 'sürüklenen', 'çocuk')",47.126139903290884
"('temyiz', 'edilmek', 'başvuru')",44.420371308931486
"('dosya', 'incelenerek', 'düşünül')",42.1623144505344
"('5271', 'cmk', 'madde')",42.061507207826146
"('adli', 'para', 'ceza')",41.5075825383001
"('temyiz', 'itiraz', 'redd')",41.46642309503884
"('başvuru', 'süre', 'karar')",41.10192109207203
"('süre', 'karar', 'nitelik')",41.09819152978261
"('suç', 'tarih', 'dosya')",40.293598711118484
"('adliye', 'mahkeme', 'karar')",40.00584148412146
"('5320', 'kanun', 'madde')",39.48387985180493
"('kovuşturma', 'evre', 'geçil')",38.87139261062093
"('karar', 'veril', 'taraf')",38.57131695039062
"('yerel', 'mahkeme', 'verilen')",38.33200176586314
"('tetkik', 'hakim', 'taraf')",37.92003885084122
"('görülmüş', 'olduk', 'hüküm')",37.88210263008812
"('resmi', 'gazete', 'yürürlük')",37.7885222295714
"('temyiz', 'itiraz', 'ret')",37.74494760598552
"('gazete', 'yürürlük', 'giren')",37.52295094021961
"('iş', 'esas', 'geçil')",37.239779869035424
"('redd', 'iş', 'esas')",37.22071714163196
"('itibar', 'görülmüş', 'olduk')",37.01256976353973
"('taraf', 'görülen', 'dava')",36.96651486510189
"('taraf', 'düzenlenen', 'rapor')",36.576513342898004
"('kanun', 'madde', 'değişik')",36.552790350287
"('mahkeme', 'hukuk', 'daire')",36.53473067918887
"('edilmek', 'başvuru', 'süre')",36.43888937020013
"('nitelik', 'suç', 'tarih')",36.40297620544321
"('hakim', 'taraf', 'düzenlenen')",36.357899428603886
"('karar', 'nitelik', 'suç')",36.31171250436634
"('adliye', 'mahkeme', 'hukuk')",36.178004655644145
"('temyiz', 'istek', 'redd')",36.06879012323751
"('temyiz', 'itiraz', 'itibar')",35.98860558711299
"('7188', 'kanun', 'madde')",35.45365852440517
"('tutanak', 'belge', 'gerekçe')",35.36841484052788
"('belge', 'gerekçe', 'içerik')",35.368270764748125
"('mahkeme', 'ceza', 'daire')",35.160765381739836
"('adliye', 'mahkeme', 'ceza')",35.120039863745745
"('süreç', 'tutanak', 'belge')",34.78482273085862
"('duruşma', 'süreç', 'tutanak')",34.770480653679186
"('oluştuk', 'duruşma', 'süreç')",34.583128026733554
"('vicdani', 'oluştuk', 'duruşma')",34.554165145061816
"('görülmeyen', 'temyiz', 'itiraz')",34.44511157051645
"('temyiz', 'edilmek', 'dosya')",34.32450773659452
"('mahalli', 'mahkeme', 'verilen')",34.24415884874403
"('asliye', 'ceza', 'mahkemesi')",34.129397712923115
"('esas', 'geçil', 'vicdani')",34.05799744273504
"('geçil', 'vicdani', 'oluştuk')",33.99989779162897
"('istek', 'redd', 'iş')",33.89386853025204
"('gerekçe', 'içerik', 'inceleme')",33.80641240044979
"('edilmek', 'dosya', 'incelenerek')",33.148049585735784
"('vekil', 'temyiz', 'itiraz')",32.93140080983697
"('5237', 'tck', 'madde')",32.685233711006
"('tarihli', 'esas', 'karar')",32.56542795234178
"('tarih', 'esas', 'karar')",32.3355092830897
"('onanma', 'tarih', 'birlik')",32.239713462400914
"('düzenlenen', 'rapor', 'dinlendik')",31.937264741856502
"('rapor', 'dinlendik', 'dosya')",31.936209175218675
"('tarih', 'yürürlük', 'giren')",31.933136370325844
"('dosya', 'tetkik', 'hakim')",31.904661977839336
"('dava', 'dosya', 'tetkik')",31.878619592505547
"('eklenen', 'geçici', 'madde')",31.730708641677417
"('madde', 'yürürlük', 'bulunan')",31.42146037784082
"('yürürlük', 'bulunan', '1412')",31.30417951167942
"('tarihli', 'resmi', 'gazete')",31.176324555490137
"('1412', 'cmuk', 'madde')",31.174977437585355
"('itiraz', 'itibar', 'görülmüş')",31.09593121296437
"('tarih', 'dosya', 'görüşül')",30.648560598371002
"('hüküm', 'onanma', 'tarih')",30.22848882107037
"('5320', 'yasa', 'madde')",30.170427368940196
"('bölge', 'adliye', 'mahkemesi')",30.06216935715298
"('görülen', 'dava', 'sonuç')",29.911733370938297
"('istinaf', 'başvuru', 'esas')",29.896007085979797
"('dava', 'sonuç', 'verilen')",29.765570288999857
"('bozma', 'gerektir', 'temyiz')",29.48409421069722
"('ret', 'kanun', 'uygun')",29.159659495754855
"('dosya', 'görüşül', 'temyiz')",29.085288977309748
"('incelen', 'konuşulup', 'düşünül')",29.05140998507687
"('dosya', 'incelen', 'konuşulup')",29.033716665143288
"('gönderilme', 'tarih', 'birlik')",28.89173935757355
"('görüşül', 'temyiz', 'istek')",28.858456327484962
"('suç', 'kurulan', 'hüküm')",28.79980969838353
"('kanun', 'uygun', 'hüküm')",28.791950980365282
"('temyiz', 'edilme', 'üzeri')",28.76596990205677
"('5607', 'yasa', 'madde')",28.68004374777289
"('incelenme', 'vekil', 'taraf')",28.432530353188227
"('esas', 'karar', 'karar')",28.38676155364028
"('mahkumiyet', 'mahalli', 'mahkeme')",28.26300471605881
"('vekil', 'taraf', 'temyiz')",28.247189190086736
"('uygun', 'hüküm', 'onanma')",28.150590737861
