Bigram,chi-sq
"('02', 'kk')",1155718.0
"('arazisini', 'ekemediğini')",1155718.0
"('açabilen', 'potansiyelini')",1155718.0
"('aç', 'dedi')",1155718.0
"('aziza', 'gemisi')",1155718.0
"('ayin', 'törenlere')",1155718.0
"('aygül', 'özmen')",1155718.0
"('axel', 'springer')",1155718.0
"('atilla', 'sinap')",1155718.0
"('asitin', 'varillere')",1155718.0
"('asansöre', '229')",1155718.0
"('are', 'rules')",1155718.0
"('aplikasyonu', 'renklendirilmiş')",1155718.0
"('047', '9507')",1155718.0
"('apartmana', 'apartmanla')",1155718.0
"('anterior', 'fraktürlere')",1155718.0
"('antenlerini', 'koyabilmeleri')",1155718.0
"('anki', 'psiklojik')",1155718.0
"('ankesörlü', 'telefondan')",1155718.0
"('alp', '11465')",1155718.0
"('allah', 'birinizin')",1155718.0
"('aleniliğin', 'sonucuda')",1155718.0
"('aleminyum', 'folyoya')",1155718.0
"('alec', 'fenn')",1155718.0
"('açisindan', 'pandemi̇')",1155718.0
"('açmadaki', 'gecikmenin')",1155718.0
"('ağabeyini', 'görememenin')",1155718.0
"('ağabeyinle', 'baban')",1155718.0
"('belirlenmelidir', '29715')",1155718.0
"('belgelemek', 'belgelenen')",1155718.0
"('bekçili', 'bariyerli')",1155718.0
"('bekleyip', 'beklediyse')",1155718.0
"('begeler', 'mercilerinden')",1155718.0
"('bedava', 'binmelerinin')",1155718.0
"('başvurup', '0541')",1155718.0
"('başmemurluğa', 'götürülmek')",1155718.0
"('başlar', 'kesilmeden')",1155718.0
"('bayileri', 'dolaşarak')",1155718.0
"('bavef', 'tavukuçluk')",1155718.0
"('basil', 'mikrop')",1155718.0
"('barsak', 'vena')",1155718.0
"('baraj', 'gölü')",1155718.0
"('balkona', 'koşup')",1155718.0
"('bakkallar', 'duyunca')",1155718.0
"('bagaja', 'yerleştirdiği')",1155718.0
"('baban', 'döşememiş')",1155718.0
"('babaannesi', 'zahide')",1155718.0
"('aşamalar', 'biriside')",1155718.0
"('ağaca', 'ceketinin')",1155718.0
"('aldatmalarla', 'talimatlar')",1155718.0
"('akülerini', 'sökmeye')",1155718.0
"('aktiflerin', 'pasiflerin')",1155718.0
"('3573', 'zeytinciliğin')",1155718.0
"('3296', 'kazan')",1155718.0
"('30000', 'katilini')",1155718.0
"('298l', '3290')",1155718.0
"('27875e', '9997')",1155718.0
"('27310', '22095')",1155718.0
"('2429', 'arefe')",1155718.0
"('2402', '2375')",1155718.0
"('2400', 'vario')",1155718.0
"('2383', 'vekaletnemenin')",1155718.0
"('2185', '2758')",1155718.0
"('20491', '21645')",1155718.0
"('1976', 'kilimciler')",1155718.0
"('1608', 'umuru')",1155718.0
"('157087', 'kullanmama')",1155718.0
"('1459', 'ncu')",1155718.0
"('1421', '1422')",1155718.0
"('1333', 'çocuksuz')",1155718.0
"('1173', '988')",1155718.0
"('11118660', '0308844')",1155718.0
"('096', 'tankerin')",1155718.0
"('09', 'sp')",1155718.0
"('3460', '3659')",1155718.0
"('3772', '3773')",1155718.0
"('aksiller', 'torakostomi')",1155718.0
"('3x3cm', '4x2cm')",1155718.0
"('akgün', 'erdal')",1155718.0
"('akdederek', 'acenteyi')",1155718.0
"('akademisyen', 'reporting')",1155718.0
"('aileye', 'mensubiyetinin')",1155718.0
"('ahzu', 'kabz')",1155718.0
"('acizliğini', 'örtbas')",1155718.0
"('aboneyi', 'besleyen')",1155718.0
"('abonenin', 'l2')",1155718.0
"('abisini', 'söylemektedir')",1155718.0
"('abdurrahman', 'karademir')",1155718.0
"('abdulmenaf', 'ekrem')",1155718.0
"('979', '1547')",1155718.0
"('97', 'seviyesinde')",1155718.0
"('857', '852')",1155718.0
"('611', '875')",1155718.0
"('5x3cm', 'mor')",1155718.0
"('5977', 'biyogüvenlik')",1155718.0
"('591', '609')",1155718.0
"('528', '658')",1155718.0
"('5147', 'kesisine')",1155718.0
"('4785', '5658')",1155718.0
"('belirleyebileceğini', 'boğulabileceğini')",1155718.0
